name,tag,attacks_done,possible_attacks,gold_looted
bebra00,#GLC098UG0,6,6,20792
skarmorist2,#G2LYLY88Q,6,6,24573
Ar47 remmo,#GGVQ0LG9C,6,6,20613
Volker Racho,#GPLRVJ889,6,6,16661
Hadith,#GRR8RPCU9,6,6,18801
Turbo_Thorsten,#LV0C8VGYV,6,6,30669
skarmorist3,#G08QVJ0QC,6,6,29955
GerminatorSuxx,#R209PJUYR,6,6,31770
finn_2502,#RR2JJPJY,6,6,20186
Misala,#GCR08GUPC,6,6,25311
lord Vader,#LURP98PU,6,6,24149
blu3prOud.,#GCV8RVQQ,6,6,28687
Gör,#CUJR98JR,6,6,33996
11Nic011,#2PGYUL28,6,6,29875
Fremdwort,#2JUQY0JP,6,6,24837
Reaper,#JRLYU9LG,6,6,29544
Neith,#Y8VRJCGYJ,5,6,15058
ruwell,#QYP2009,6,6,33439
MopsMaus,#GJ9YCG80P,6,6,31516
Fogetek,#QCQYUVQ0U,6,6,30322
ruwell 2.0,#R0PYQCJVJ,6,6,20351
FraizHD,#8V99UVRY,6,6,23275
Santahunter,#Q82RQQ80Q,6,6,20149
Fabian,#GV0RCYC2L,3,6,11523
Löwenkralle2.0,#YYJR02GGY,6,6,16484
Alix,#V8VVYGY2,6,6,25392
Dave,#R2R200L09,6,6,15981
skarmorist,#LULLURVYC,6,6,27791
skarmoristRush,#GVRLLU2J2,6,6,31407
jjj,#LQ2J90RVG,6,6,19753
Germinator,#GGJL90JVP,6,6,19166
