League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Legend III,ruwell,QYP2009,True,24,23,1034,27,0,1,5,18,65,0,1,10,12,57,24,24,,,2.7083333333333335,2.4782608695652173
Electro League 33,Fremdwort,2JUQY0JP,True,18,17,647,71,0,2,3,13,47,0,0,1,16,50,18,18,,,2.611111111111111,2.9411764705882355
Dragon League 29,Santahunter,Q82RQQ80Q,True,14,12,712,6,0,1,6,7,34,0,3,9,0,21,14,14,,,2.4285714285714284,1.75
-,11Nic011,2PGYUL28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Dragon League 28,blu3prOud.,GCV8RVQQ,True,14,12,598,24,0,2,3,9,35,0,0,7,5,29,14,14,,,2.5,2.4166666666666665
Electro League 31,IAmDreamwing,9PCRUCV,True,1,16,333,92,0,0,1,0,2,0,4,12,0,28,18,18,,,2.0,1.75
Electro League 31,Dreamwing,YC9V02V0V,True,1,16,142,96,0,1,0,0,1,0,2,6,8,38,18,18,,,1.0,2.375
Dragon League 28,lord Vader,LURP98PU,True,8,13,281,94,0,1,6,1,16,0,2,3,8,32,14,14,,,2.0,2.4615384615384617
P.E.K.K.A League 24,Volker Racho,GPLRVJ889,True,12,10,562,12,0,2,4,6,28,0,1,7,2,21,12,12,,,2.3333333333333335,2.1
Titan League 26,Crezork,22CL8ULQY,True,7,8,140,91,3,4,0,0,4,0,0,4,4,20,12,12,,,0.5714285714285714,2.5
P.E.K.K.A League 23,Reaper,JRLYU9LG,True,3,9,170,84,0,0,2,1,7,0,1,2,6,23,12,12,,,2.3333333333333335,2.5555555555555554
P.E.K.K.A League 23,Neith,Y8VRJCGYJ,True,12,9,501,30,0,2,4,6,28,0,1,5,3,20,12,12,,,2.3333333333333335,2.2222222222222223
Golem League 21,FraizHD,8V99UVRY,True,12,7,698,3,0,0,2,10,34,1,2,3,1,11,12,12,,,2.8333333333333335,1.5714285714285714
Golem League 21,Germinator,GGJL90JVP,True,12,7,409,37,0,2,7,3,25,0,0,4,3,17,12,12,,,2.0833333333333335,2.4285714285714284
Golem League 20,MopsMaus,GJ9YCG80P,True,12,9,496,31,0,1,7,4,27,0,0,8,1,19,12,12,,,2.25,2.111111111111111
Golem League 20,AS Koma,L0Q9UYVJ0,True,12,8,688,1,0,0,5,7,31,2,2,3,1,11,12,12,,,2.5833333333333335,1.375
Witch League 17,Löwenkralle2.0,YYJR02GGY,True,10,6,509,12,0,0,3,7,27,0,2,3,1,11,10,10,,,2.7,1.8333333333333333
Golem League 19,Misala,GCR08GUPC,True,12,10,424,54,0,1,4,7,30,0,0,1,9,29,12,12,,,2.5,2.9
-,Alix,V8VVYGY2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 17,skarmorist,LULLURVYC,True,10,6,591,3,0,1,4,5,24,1,4,1,0,6,10,10,,,2.4,1.0
