League Name,name,id,was_active,total_attacks,total_defenses,trophies,current_rank,attack_0_star,attack_1_star,attack_2_star,attack_3_star,attack_total_star,defense_0_star,defense_1_star,defense_2_star,defense_3_star,defense_total_star,possible_attacks,possible_defense,attack_judge,defense_judge,attack_avg,defense_avg
Electro League 33,ruwell,QYP2009,True,24,21,911,41,0,5,7,12,55,1,0,10,10,50,18,18,,,2.2916666666666665,2.380952380952381
Electro League 32,Fremdwort,2JUQY0JP,True,24,20,1078,8,0,0,6,18,66,1,1,6,12,49,18,18,,,2.75,2.45
Dragon League 28,Santahunter,Q82RQQ80Q,True,18,14,728,22,0,7,9,2,31,0,4,10,0,24,14,14,,,1.7222222222222223,1.7142857142857142
Dragon League 30,11Nic011,2PGYUL28,True,15,15,642,58,0,2,7,6,34,0,2,7,6,34,14,14,,,2.2666666666666666,2.2666666666666666
-,blu3prOud.,GCV8RVQQ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Electro League 31,IAmDreamwing,9PCRUCV,True,8,20,630,84,0,0,4,4,20,0,6,10,4,38,18,18,,,2.5,1.9
Electro League 31,Dreamwing,YC9V02V0V,True,14,18,773,62,0,2,4,8,34,0,4,10,4,36,18,18,,,2.4285714285714284,2.0
Titan League 26,lord Vader,LURP98PU,True,2,12,380,80,0,1,0,1,4,1,3,8,0,19,12,12,,,2.0,1.5833333333333333
Golem League 21,Volker Racho,GPLRVJ889,True,12,7,606,15,0,1,6,5,28,1,2,3,1,11,12,12,,,2.3333333333333335,1.5714285714285714
-,Crezork,22CL8ULQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
P.E.K.K.A League 23,Reaper,JRLYU9LG,True,10,10,440,53,0,2,6,2,20,0,3,6,1,18,12,12,,,2.0,1.8
P.E.K.K.A League 23,Neith,Y8VRJCGYJ,True,2,10,128,97,0,0,1,1,5,0,0,4,6,26,12,12,,,2.5,2.6
Golem League 20,FraizHD,8V99UVRY,True,12,10,423,57,0,1,8,3,26,0,1,3,6,25,12,12,,,2.1666666666666665,2.5
Witch League 17,Germinator,GGJL90JVP,True,10,5,634,1,1,0,2,7,25,2,2,1,0,4,10,10,,,2.5,0.8
Witch League 18,MopsMaus,GJ9YCG80P,True,10,6,407,22,0,4,5,1,17,0,3,2,1,10,10,10,,,1.7,1.6666666666666667
Golem League 19,AS Koma,L0Q9UYVJ0,True,12,10,485,36,0,3,6,3,24,0,4,3,3,19,12,12,,,2.0,1.9
-,Löwenkralle2.0,YYJR02GGY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Witch League 17,Misala,GCR08GUPC,True,10,5,501,11,0,0,0,10,30,0,1,2,2,11,10,10,,,3.0,2.2
-,Alix,V8VVYGY2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist,LULLURVYC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Turbo_Thorsten,LV0C8VGYV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Golem League 19,Kakashi:*,8CQLYYQV,True,0,8,139,90,0,0,0,0,0,0,1,5,2,17,12,12,,,0,2.125
Witch League 17,Fabian,GV0RCYC2L,True,0,4,0,98,0,0,0,0,0,0,0,0,4,12,10,10,,,0,3.0
Wizard League 11,Dave,R2R200L09,True,8,5,159,64,0,5,2,1,12,0,0,0,5,15,8,8,,,1.5,3.0
-,Fogetek,QCQYUVQ0U,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,finn_2502,RR2JJPJY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Alexa,GV0U2LPV0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Wizard League 11,Homers87,R0L9VV290,True,8,5,149,78,0,4,3,1,13,0,0,0,5,15,8,8,,,1.625,3.0
Archer League 8,bebra00,GLC098UG0,True,8,5,311,32,0,3,2,3,16,0,0,4,1,11,8,8,,,2.0,2.2
Archer League 8,Schmeili 01we,L0QRYL8Q,True,0,5,163,71,0,0,0,0,0,0,3,2,0,7,8,8,,,0,1.4
Barbarian League 5,jjj,LQ2J90RVG,True,6,6,288,26,0,0,1,5,17,0,1,2,3,14,6,6,,,2.8333333333333335,2.3333333333333335
-,tomm3yr,R0GC8Y9CQ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,mona,GVJLCYGQY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,GerminatorSuxx,R209PJUYR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Ar47 remmo,GGVQ0LG9C,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist2,G2LYLY88Q,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmorist3,G08QVJ0QC,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,ruwell 2.0,R0PYQCJVJ,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Goon,GR2C8VPYY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Hadith,GRR8RPCU9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,skarmoristRush,GVRLLU2J2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Haram,QPULC2929,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,adriano,GV2LRLU09,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,Gör,CUJR98JR,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,AioScHi,920VG0QRY,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,byToobii,9Q80GC22J,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
-,jonny,LQ9RQ0UJ8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
